Timestamp,X,Y,Z
2.672,0.16519992,-0.15562311,9.809045
2.695,0.17717093,-0.15562311,9.801862
2.72,0.16879122,-0.1592144,9.7958765
2.742,0.17477672,-0.16160862,9.7958765
2.771,0.17238252,-0.16280572,9.805453
2.794,0.16879122,-0.16400282,9.80665
2.816,0.16879122,-0.1604115,9.797073
2.844,0.16998832,-0.17357962,9.811439
2.868,0.16519992,-0.15562311,9.80665
2.891,0.1592144,-0.16400282,9.811439
2.915,0.17357962,-0.15083471,9.811439
2.938,0.16400282,-0.16280572,9.807847
2.96,0.16400282,-0.16280572,9.807847
2.983,0.16759412,-0.1604115,9.79827
3.005,0.16879122,-0.15682021,9.80665
3.029,0.17597382,-0.15083471,9.813833
3.052,0.17238252,-0.16400282,9.800665
3.076,0.17238252,-0.15801731,9.79827
3.1,0.17238252,-0.15801731,9.79827
3.124,0.16998832,-0.16759412,9.803059
3.148,0.16998832,-0.16639702,9.799467
3.172,0.17118542,-0.15442601,9.807847
3.195,0.17357962,-0.15801731,9.8042555
3.222,0.16998832,-0.15562311,9.805453
3.245,0.16998832,-0.16400282,9.8042555
3.269,0.1604115,-0.16160862,9.81503
3.291,0.16998832,-0.16400282,9.79827
3.313,0.17477672,-0.15682021,9.810242
3.335,0.17357962,-0.16400282,9.80665
3.358,0.16759412,-0.15801731,9.813833
3.382,0.17238252,-0.15801731,9.8042555
3.405,0.16639702,-0.15682021,9.803059
3.429,0.17238252,-0.16879122,9.803059
3.453,0.16759412,-0.15801731,9.803059
3.48,0.17238252,-0.1592144,9.801862
3.503,0.16639702,-0.16400282,9.79827
3.525,0.17477672,-0.16280572,9.801862
3.547,0.16998832,-0.16400282,9.794679
3.569,0.16519992,-0.16879122,9.81503
3.59,0.16280572,-0.1592144,9.803059
3.612,0.17477672,-0.1604115,9.807847
3.633,0.16879122,-0.15682021,9.803059
3.655,0.16879122,-0.15801731,9.794679
3.677,0.16998832,-0.16519992,9.803059
3.702,0.16280572,-0.14963761,9.807847
3.723,0.17238252,-0.15083471,9.805453
