Barometer,currentAvg,AvgBefore_2_Second,Pstart,Pend,CurrentFloor
894.2342,894.2494,894.2728,895.0365,0.0,0.0,
894.2324,894.2494,894.2728,895.0365,0.0,0.0,
894.2341,894.2494,894.2728,895.0365,0.0,0.0,
894.2393,894.2494,894.2728,895.0365,0.0,0.0,
894.22363,894.23615,894.23615,895.0365,0.0,0.0,
894.2193,894.23615,894.23615,895.0365,0.0,0.0,
894.2163,894.23615,894.23615,895.0365,0.0,0.0,
894.2037,894.23615,894.23615,895.0365,0.0,0.0,
894.20233,894.23615,894.23615,895.0365,0.0,0.0,
894.1924,894.23615,894.23615,895.0365,0.0,0.0,
894.1897,894.20685,894.23615,895.0365,0.0,0.0,
894.1814,894.20685,894.23615,895.0365,0.0,0.0,
894.1823,894.20685,894.23615,895.0365,0.0,0.0,
894.18066,894.20685,894.23615,895.0365,0.0,0.0,
894.1892,894.20685,894.23615,895.0365,0.0,0.0,
894.1918,894.20685,894.23615,895.0365,0.0,0.0,
894.1885,894.18506,894.18506,895.0365,0.0,0.0,
894.1891,894.18506,894.18506,895.0365,0.0,0.0,
894.2076,894.18506,894.18506,895.0365,0.0,0.0,
894.1933,894.18506,894.18506,895.0365,0.0,0.0,
894.185,894.18506,894.18506,895.0365,0.0,0.0,
894.1817,894.18506,894.18506,895.0365,0.0,0.0,
894.18427,894.1914,894.18506,895.0365,0.0,0.0,
894.1667,894.1914,894.18506,895.0365,0.0,0.0,
894.1633,894.1914,894.18506,895.0365,0.0,0.0,
894.1659,894.1914,894.18506,895.0365,0.0,0.0,
894.16846,894.1914,894.18506,895.0365,0.0,0.0,
894.16187,894.1914,894.18506,895.0365,0.0,0.0,
894.1572,894.1652,894.1652,895.0365,0.0,0.0,
894.168,894.1652,894.1652,895.0365,0.0,0.0,
894.1581,894.1652,894.1652,895.0365,0.0,0.0,
894.15704,894.1652,894.1652,895.0365,0.0,0.0,
894.1557,894.1652,894.1652,895.0365,0.0,0.0,
894.14545,894.1652,894.1652,895.0365,0.0,0.0,
894.13586,894.15686,894.1652,895.0365,0.0,0.0,
894.13477,894.15686,894.1652,895.0365,0.0,0.0,
894.1351,894.15686,894.1652,895.0365,0.0,0.0,
894.1202,894.15686,894.1652,895.0365,0.0,0.0,
894.1102,894.15686,894.1652,895.0365,0.0,0.0,
894.11584,894.15686,894.1652,895.0365,0.0,0.0,
894.1178,894.12317,894.12317,895.0365,0.0,0.0,
894.10785,894.12317,894.12317,895.0365,0.0,0.0,
894.10046,894.12317,894.12317,895.0365,0.0,0.0,
894.079,894.12317,894.12317,895.0365,0.0,0.0,
894.0746,894.12317,894.12317,895.0365,0.0,0.0,
894.0597,894.12317,894.12317,895.0365,0.0,0.0,
894.0526,894.0843,894.12317,895.0365,0.0,0.0,
894.0411,894.0843,894.12317,895.0365,0.0,0.0,
894.0486,894.0843,894.12317,895.0365,0.0,0.0,
894.03296,894.0843,894.12317,895.0365,0.0,0.0,
894.02795,894.0843,894.12317,895.0365,0.0,0.0,
894.0236,894.0843,894.12317,895.0365,0.0,0.0,
894.0338,894.0348,894.0348,895.0365,0.0,0.0,
894.0344,894.0348,894.0348,895.0365,0.0,0.0,
894.0254,894.0348,894.0348,895.0365,0.0,0.0,
894.0221,894.0348,894.0348,895.0365,0.0,0.0,
894.0191,894.0348,894.0348,895.0365,0.0,0.0,
894.00977,894.0348,894.0348,895.0365,0.0,0.0,
894.00146,894.02216,894.0348,895.0365,0.0,0.0,
894.0018,894.02216,894.0348,895.0365,0.0,0.0,
894.0076,894.02216,894.0348,895.0365,0.0,0.0,
894.00824,894.02216,894.0348,895.0365,0.0,0.0,
894.0066,894.02216,894.0348,895.0365,0.0,0.0,
894.00555,894.02216,894.0348,895.0365,0.0,0.0,
894.0022,894.006,894.006,895.0365,0.0,0.0,
894.0114,894.006,894.006,895.0365,0.0,0.0,
894.02026,894.006,894.006,895.0365,0.0,0.0,
